MAX6675-k, 2023-07-28 15:29:05, 28.5°C
MAX6675-k, 2023-07-28 15:29:06, 28.0°C
MAX6675-k, 2023-07-28 15:29:08, 28.25°C
MAX6675-k, 2023-07-28 15:29:09, 28.25°C
MAX6675-k, 2023-07-28 15:29:10, 28.25°C
MAX6675-k, 2023-07-28 15:29:11, 27.75°C
MAX6675-k, 2023-07-28 15:29:12, 28.5°C
MAX6675-k, 2023-07-28 15:29:13, 28.0°C
MAX6675-k, 2023-07-28 15:29:14, 28.25°C
MAX6675-k, 2023-07-28 15:29:15, 27.75°C
MAX6675-k, 2023-07-28 15:29:16, 28.25°C
MAX6675-k, 2023-07-28 15:29:17, 28.25°C
MAX6675-k, 2023-07-28 15:29:18, 28.25°C
MAX6675-k, 2023-07-28 15:29:19, 28.0°C
MAX6675-k, 2023-07-28 15:29:20, 28.0°C
MAX6675-k, 2023-07-28 15:29:21, 27.5°C
MAX6675-k, 2023-07-28 15:29:22, 28.25°C
MAX6675-k, 2023-07-28 15:29:23, 28.0°C
MAX6675-k, 2023-07-28 15:29:24, 28.0°C
MAX6675-k, 2023-07-28 15:29:25, 28.0°C
MAX6675-k, 2023-07-28 15:29:26, 27.5°C
MAX6675-k, 2023-07-28 15:29:27, 28.25°C
MAX6675-k, 2023-07-28 15:29:28, 28.25°C
MAX6675-k, 2023-07-28 15:29:29, 28.0°C
MAX6675-k, 2023-07-28 15:29:30, 28.25°C
MAX6675-k, 2023-07-28 15:29:31, 28.0°C
MAX6675-k, 2023-07-28 15:29:32, 28.25°C
MAX6675-k, 2023-07-28 15:29:33, 28.5°C
MAX6675-k, 2023-07-28 15:29:34, 28.5°C
MAX6675-k, 2023-07-28 15:29:35, 28.25°C
MAX6675-k, 2023-07-28 15:29:36, 28.0°C
MAX6675-k, 2023-07-28 15:29:37, 27.75°C
MAX6675-k, 2023-07-28 15:29:38, 28.25°C
MAX6675-k, 2023-07-28 15:29:40, 28.25°C
MAX6675-k, 2023-07-28 15:29:41, 28.0°C
MAX6675-k, 2023-07-28 15:29:42, 28.25°C
MAX6675-k, 2023-07-28 15:29:43, 28.5°C
MAX6675-k, 2023-07-28 15:29:44, 28.25°C
MAX6675-k, 2023-07-28 15:29:45, 28.0°C
MAX6675-k, 2023-07-28 15:29:46, 28.5°C
MAX6675-k, 2023-07-28 15:29:47, 28.25°C
MAX6675-k, 2023-07-28 15:29:48, 28.25°C
MAX6675-k, 2023-07-28 15:29:49, 28.25°C
MAX6675-k, 2023-07-28 15:29:50, 28.0°C
MAX6675-k, 2023-07-28 15:29:51, 28.0°C
MAX6675-k, 2023-07-28 15:29:52, 28.25°C
MAX6675-k, 2023-07-28 15:29:53, 28.0°C
MAX6675-k, 2023-07-28 15:29:54, 28.25°C
MAX6675-k, 2023-07-28 15:29:55, 28.75°C
MAX6675-k, 2023-07-28 15:29:56, 28.0°C
MAX6675-k, 2023-07-28 15:29:57, 28.5°C
MAX6675-k, 2023-07-28 15:29:58, 28.25°C
MAX6675-k, 2023-07-28 15:29:59, 27.75°C
MAX6675-k, 2023-07-28 15:30:00, 28.5°C
MAX6675-k, 2023-07-28 15:30:01, 28.0°C
MAX6675-k, 2023-07-28 15:30:02, 28.25°C
MAX6675-k, 2023-07-28 15:30:03, 28.25°C
MAX6675-k, 2023-07-28 15:30:04, 28.0°C
MAX6675-k, 2023-07-28 15:30:05, 28.0°C
MAX6675-k, 2023-07-28 15:30:06, 28.0°C
MAX6675-k, 2023-07-28 15:30:07, 28.5°C
MAX6675-k, 2023-07-28 15:30:08, 28.25°C
MAX6675-k, 2023-07-28 15:30:09, 28.5°C
MAX6675-k, 2023-07-28 15:30:11, 28.0°C
MAX6675-k, 2023-07-28 15:30:12, 28.25°C
MAX6675-k, 2023-07-28 15:30:13, 28.25°C
MAX6675-k, 2023-07-28 15:30:14, 28.5°C
MAX6675-k, 2023-07-28 15:30:15, 28.25°C
MAX6675-k, 2023-07-28 15:30:16, 28.5°C
MAX6675-k, 2023-07-28 15:30:17, 28.5°C
MAX6675-k, 2023-07-28 15:30:18, 28.0°C
MAX6675-k, 2023-07-28 15:30:19, 28.0°C
MAX6675-k, 2023-07-28 15:30:20, 28.25°C
MAX6675-k, 2023-07-28 15:30:21, 28.25°C
MAX6675-k, 2023-07-28 15:30:22, 28.25°C
